gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD53	2.5860459460923665e-32	1.0018413841040013	0.78	0.522	3.5465034104710716e-28
CFL1	2.586629495002175e-32	0.6506832234272886	0.985	0.908	3.547303689445983e-28
CD63	6.725874793235609e-32	1.2544170005505848	0.598	0.317	9.223864691443314e-28
CLIC1	1.1574124603124836e-31	1.0043387941979	0.848	0.623	1.58727544807254e-27
LITAF	2.0134739413458752e-31	1.408886552968877	0.564	0.284	2.7612781631617332e-27
PDIA3	4.5984310656953875e-31	1.2853284917011103	0.583	0.311	6.3062883634946546e-27
HAVCR2	5.847852854007495e-30	1.2685236932198851	0.182	0.031	8.019745403985879e-26
CD7	6.0256079936308795e-30	1.2587566256721516	0.625	0.339	8.263518802465388e-26
LYAR	1.4620799194912737e-29	1.31189001448311	0.42	0.156	2.0050964015903328e-25
PLAC8	3.047531151371437e-29	1.2739962498505415	0.67	0.435	4.179384220990789e-25
IFITM1	1.2747802429884053e-28	1.0582534500827165	0.72	0.45	1.748233625234299e-24
CALM1	4.19257549125529e-28	0.8439449427401131	0.837	0.66	5.749698028707505e-24
PPP1R18	1.8863546009634066e-27	1.1426207328697018	0.515	0.259	2.586946699761216e-23
CD8A	7.538250892051468e-27	1.2881792285386129	0.311	0.096	1.0337957273359384e-22
ID2	9.902596762926262e-27	1.0221778774619392	0.648	0.358	1.3580421200677077e-22
BIN2	1.5860171587117708e-26	1.090622109957168	0.598	0.344	2.1750639314573224e-22
ANXA6	2.89243447428737e-26	0.8960777852908783	0.53	0.27	3.966684638037699e-22
CD300A	6.014468780658062e-26	1.1491226920429534	0.314	0.107	8.248242485794467e-22
SH3BGRL3	2.226144230652789e-25	0.5690518301024534	0.973	0.846	3.052934197917235e-21
PLA2G16	2.6557188694319614e-25	0.829071548281465	0.159	0.028	3.642052857538992e-21
SEPT7	7.827654373968478e-25	1.0264592360334914	0.572	0.313	1.073484520846037e-20
ACTB	1.4217725375188232e-24	0.5523505489427576	1	0.992	1.949818857953314e-20
RHOC	1.7613772194325997e-24	0.9345521367754308	0.409	0.163	2.4155527187298672e-20
SLAMF7	2.861762075255291e-24	0.6843167840129305	0.125	0.017	3.924620510005106e-20
RAC2	3.689623978887571e-24	0.9098469708701598	0.814	0.634	5.0599503246464145e-20
IFITM2	7.447126546903044e-24	0.6877898732828043	0.871	0.691	1.0212989346422834e-19
RP11-81H14.2	1.6642603373516513e-22	0.5645680296033295	0.106	0.013	2.2823666266440545e-18
ABI3	1.8328164270610465e-22	0.9518642626436289	0.371	0.155	2.5135244480715193e-18
MALAT1	1.8429310391103638e-22	0.41574785510079515	1	1	2.527395627035953e-18
ABHD17A	4.193719989484607e-22	0.8591443858170128	0.193	0.047	5.7512675935791896e-18
MYL12B	6.309157254532021e-22	0.6915098351147897	0.845	0.685	8.652378258865213e-18
IL32	1.3270660311524859e-21	0.9927728912217133	0.731	0.532	1.819938355122519e-17
EFHD2	2.037301197448394e-21	0.965440139954768	0.386	0.172	2.793954862180728e-17
ARPC2	2.486248464057305e-21	0.6494958935407937	0.89	0.792	3.409641143608188e-17
DHRS7	7.01462572646493e-21	1.030532595599016	0.515	0.298	9.619857721274005e-17
C9orf142	1.116267459055665e-20	1.3481358902425429	0.439	0.22	1.5308491933489388e-16
CCL3	1.2294703334757154e-20	1.327801884991226	0.322	0.12	1.686095615328596e-16
TSEN54	1.4428861159724498e-20	0.710330100320623	0.197	0.051	1.9787740194446176e-16
PRKCH	1.4705623775225515e-20	0.8387132641727868	0.295	0.108	2.0167292445344272e-16
SLC9A3R1	2.5714634916159456e-20	1.1257805052804037	0.341	0.144	3.526505032402108e-16
C5orf56	3.2259974470958465e-20	0.9130456627907895	0.292	0.106	4.4241328989472437e-16
FBXO6	3.9974786532405824e-20	0.6905197157938054	0.174	0.042	5.482142225054135e-16
IL2RG	6.330450690301031e-20	0.9338945429346652	0.636	0.419	8.681580076678835e-16
CMC1	1.2086804396826848e-19	0.9003292103062293	0.239	0.077	1.657584354980834e-15
CHST2	1.276645964793406e-19	0.6582668657055923	0.129	0.024	1.750792276117677e-15
RGS3	1.4700660053915095e-19	0.6538697634570569	0.125	0.022	2.016048519793916e-15
ADRB2	4.661382626494866e-19	0.6323096701629662	0.133	0.026	6.392620133975059e-15
YPEL1	6.218020256682479e-19	0.49652516011691095	0.106	0.016	8.527392980014353e-15
MYL6	1.0302400881476113e-18	0.5316605359031028	0.939	0.843	1.4128712568856341e-14
SYNGR1	1.5354386715723953e-18	0.6658214221086192	0.125	0.024	2.105700594194383e-14
ARL4C	1.7606063370373773e-18	0.9796801248504573	0.379	0.178	2.414495530613059e-14
LPCAT1	1.9607299168447767e-18	0.674284978579001	0.167	0.041	2.688945007960927e-14
PYHIN1	2.038363882306376e-18	0.6984175848639128	0.178	0.046	2.7954122281949644e-14
PSMB10	2.7325316878946224e-18	0.8865665613804143	0.542	0.335	3.7473939567786853e-14
PTPN4	6.603652055930525e-18	0.704516486451531	0.212	0.065	9.056248429503122e-14
CCND3	1.9136879625210066e-17	0.8857271625269723	0.572	0.396	2.6244316718013085e-13
SUN2	2.525672975798347e-17	0.8611273473280618	0.428	0.231	3.4637079190098534e-13
MIB2	4.699298170034508e-17	0.7105151141214101	0.182	0.052	6.444617510385324e-13
ITGB7	5.648642931894789e-17	0.8042438841609065	0.295	0.124	7.746548916800513e-13
GTF3C1	1.0850153990503493e-16	0.6053156778644352	0.106	0.019	1.487990118257649e-12
PPIA	1.1101690124924703e-16	0.6380228333686127	0.848	0.731	1.5224857837321736e-12
UBC	1.3430854032259951e-16	0.5067359956659492	0.936	0.844	1.8419073219841296e-12
ALOX5AP	1.8420767354972953e-16	1.061708443383247	0.409	0.215	2.526224035060991e-12
CAP1	2.028117225348759e-16	0.7928190389435015	0.58	0.396	2.781359962843288e-12
CALR	2.0323528796593057e-16	0.9070541593839949	0.455	0.261	2.787168739164772e-12
SH2D1A	2.1757677580162358e-16	0.7964697889283041	0.235	0.083	2.9838479033434657e-12
PPP1CA	4.4396920462671717e-16	0.7072418065475552	0.663	0.503	6.088593672250799e-12
PATL2	4.528753484363744e-16	0.7119431573851849	0.148	0.037	6.210732528456438e-12
AOAH	5.030241853964152e-16	0.8662836667132807	0.269	0.11	6.8984736785264385e-12
HSPA5	1.140613455528857e-15	0.8752670933832998	0.364	0.182	1.5642372929122745e-11
ANXA1	1.6313973587748944e-15	0.5684342859994156	0.773	0.573	2.2372983378238903e-11
XBP1	1.844666000128559e-15	1.0900389660865977	0.455	0.267	2.529774952576306e-11
TMED9	4.2691804870717566e-15	0.842405005574385	0.42	0.235	5.854754119970207e-11
PSMB9	6.8337788006948624e-15	0.6173121514127522	0.731	0.57	9.371844247272934e-11
HSP90B1	7.888665893440638e-15	0.8261620950064119	0.405	0.229	1.0818516406264491e-10
YWHAQ	8.274134060500137e-15	0.7213957166756095	0.455	0.271	1.1347147450569888e-10
SERF2	1.0031806593342674e-14	0.5235291194717515	0.924	0.849	1.3757619562110142e-10
GNPTAB	1.046660739810775e-14	0.6670699041656112	0.14	0.037	1.435390538576497e-10
BST2	1.2463572381014747e-14	0.6597957553663374	0.61	0.431	1.7092543163323623e-10
CCDC28B	2.422640899597737e-14	0.6111575101094157	0.129	0.032	3.3224097297083366e-10
CYBA	3.0144483020481296e-14	0.5533267188075524	0.936	0.837	4.134014401428805e-10
UBE2F	3.2281932314315445e-14	0.7130483237838883	0.273	0.119	4.42714419758522e-10
RUNX3	3.343346713775775e-14	0.7042140166643408	0.205	0.072	4.5850656832720973e-10
PSME1	4.239217537529818e-14	0.4571282848705236	0.814	0.73	5.813662930968393e-10
CD38	4.666268901812635e-14	0.6083643531369183	0.11	0.024	6.399321171945848e-10
SELT	9.671545272746491e-14	0.7304770241942491	0.451	0.284	1.3263557187044537e-9
LCK	1.0225254853332035e-13	0.6375017588252652	0.542	0.341	1.4022914505859553e-9
CD244	1.1107877218562293e-13	0.5924129271752183	0.114	0.027	1.5233342817536328e-9
OPTN	1.280907422960512e-13	0.6274672868996707	0.284	0.128	1.7566364398480462e-9
S100B	1.331245223334143e-13	1.1868238988677122	0.114	0.027	1.8256696992804437e-9
RP4-728D4.2	1.4628766332531293e-13	0.46392589290526975	0.106	0.023	2.0061890148433414e-9
LAMP1	4.11491602492739e-13	0.8029620953387832	0.348	0.187	5.643195836585423e-9
GIMAP7	6.220956784793262e-13	0.531109680444112	0.689	0.524	8.531420134665479e-9
RAB7L1	6.93108475317603e-13	0.6772114251529711	0.197	0.072	9.505289630505608e-9
GLIPR2	7.164630215247706e-13	0.7985240630916579	0.371	0.208	9.825573877190704e-9
ITGAL	9.339509117619693e-13	0.7934050891051216	0.22	0.09	1.2808202803903647e-8
BPGM	1.0177465969829607e-12	0.5724304854580126	0.129	0.035	1.3957376831024324e-8
CISD3	1.1365807708674943e-12	0.7933168921559897	0.258	0.114	1.558706869167682e-8
DBI	1.1820429135175127e-12	0.6813616286652091	0.504	0.34	1.621053651597917e-8
HNRNPA2B1	1.4293175331929534e-12	0.7388036817416732	0.723	0.627	1.9601660650208163e-8
FYN	2.553163100963528e-12	0.770361258512036	0.299	0.151	3.501407876661382e-8
ARL6IP1	2.8547882389622873e-12	0.7578964309398225	0.33	0.176	3.915056590912881e-8
MBP	4.036586890781938e-12	0.7293585422637825	0.216	0.089	5.5357752620183494e-8
ACTG1	4.069202329301587e-12	0.6998507478994447	0.905	0.859	5.580504074404197e-8
TAP1	4.682599750653119e-12	0.6825066649215439	0.375	0.217	6.421717298045688e-8
SKAP1	4.92387835045576e-12	0.714842285224079	0.269	0.127	6.75260676981503e-8
HLA-F	5.1632476868392944e-12	0.9070316577481481	0.47	0.317	7.080877877731409e-8
TXNIP	7.196155559633415e-12	0.6381183890778117	0.799	0.755	9.868807734481265e-8
IL12RB1	7.241782328302376e-12	0.6081708936877676	0.182	0.068	9.931380285033878e-8
PTPN7	7.557757675944739e-12	1.372148372238579	0.205	0.082	1.0364708876790615e-7
KLRB1	7.899430028163248e-12	0.6015588738314759	0.144	0.045	1.0833278340623078e-7
RASSF1	1.0261440918746482e-11	0.6277769796702509	0.197	0.077	1.4072540075968925e-7
EVL	1.4015529713975013e-11	0.5722461152989622	0.674	0.517	1.9220897449745333e-7
GNG2	1.6737394853182185e-11	0.7703660138297941	0.242	0.112	2.2953663301654048e-7
BSG	1.963059624034274e-11	0.7158942349224966	0.383	0.235	2.6921399684006033e-7
AES	1.9936169844672487e-11	0.5682711243609284	0.652	0.476	2.734046332498385e-7
HNRNPA3	2.5212237455420618e-11	0.6243515992599233	0.451	0.297	3.4576062446363834e-7
UCP2	2.6823702129337817e-11	0.6882372324108199	0.674	0.549	3.678602510017388e-7
SYNE2	3.228161483656281e-11	0.5595577413923066	0.178	0.067	4.427100658686224e-7
PSMB8	4.91967732043284e-11	0.6484133300097326	0.598	0.444	6.746845477241596e-7
BTN3A2	7.730315461382027e-11	0.6324265240828193	0.348	0.201	1.0601354623739313e-6
PSME2	7.766635948664038e-11	0.5370176558677331	0.689	0.539	1.0651164539997863e-6
GIMAP6	8.792218634998401e-11	0.6194579141062918	0.208	0.088	1.2057648636036807e-6
ARL6IP5	1.0538235985368313e-10	0.4006044316362325	0.572	0.443	1.4452136830334105e-6
MIEN1	1.1896471771926187e-10	0.6592268752595569	0.307	0.168	1.6314821388019572e-6
FKBP11	1.2847409075642988e-10	0.7760968671890933	0.25	0.121	1.7618936806336795e-6
LSP1	1.4160422347217154e-10	0.44442414114308804	0.678	0.532	1.9419603206973604e-6
TMBIM6	1.9592120689641523e-10	0.4550221238747407	0.614	0.506	2.6868634313774384e-6
PRMT2	2.0184651071517854e-10	0.744551358177721	0.345	0.204	2.7681230479479587e-6
HENMT1	2.8621454371672675e-10	0.47558703545314895	0.121	0.037	3.925146252531191e-6
CD8B	3.1602396764340293e-10	0.967207630111609	0.246	0.114	4.3339526922616276e-6
PTGER2	3.263713687757124e-10	0.6916676457053348	0.254	0.126	4.47585695139012e-6
CYB5B	3.371621866304374e-10	0.768025679270101	0.197	0.085	4.623842227449819e-6
ACAA2	3.8842904920985126e-10	0.5920326547178786	0.186	0.076	5.3269159808639005e-6
ARPC4	3.975901604511502e-10	0.6501898868638352	0.436	0.303	5.452551460427074e-6
FLNA	4.2998128760566084e-10	0.8185048036912106	0.333	0.199	5.8967633782240325e-6
PTPRC	4.92062392092003e-10	0.5073509882968095	0.568	0.443	6.748143645149729e-6
DDX5	6.810336727787675e-10	0.38393766525872675	0.894	0.805	9.339695788488016e-6
TMEM50A	9.132433740429664e-10	0.7143329591943373	0.394	0.252	1.2524219631625242e-5
DNAJB11	1.0611823803232836e-9	0.575195153396433	0.197	0.086	1.4553055163753512e-5
RASAL3	1.3677833782022306e-9	0.6511112652020173	0.22	0.105	1.875778124866539e-5
SF3B4	1.6202596818197866e-9	0.6548691778863949	0.178	0.075	2.222024127647655e-5
FAM49B	1.9433882959285683e-9	0.5909174128853609	0.42	0.29	2.6651627090364387e-5
DRAP1	2.091730730580201e-9	0.6164940332470477	0.583	0.454	2.8685995239176875e-5
PPIB	2.3779482162448614e-9	0.55534647309686	0.58	0.465	3.261118183758203e-5
EBP	2.4203616073268757e-9	0.6832222524505771	0.212	0.102	3.3192839082880776e-5
BAX	2.6192547498888467e-9	0.6795081083523522	0.42	0.294	3.5920459639975646e-5
BATF	3.4305199453070142e-9	0.6296883881823616	0.17	0.071	4.704615052994039e-5
WDR1	3.753369507079401e-9	0.7028234228351602	0.379	0.25	5.147370942008691e-5
NDUFB2	4.080969579826734e-9	0.7960555889047378	0.462	0.337	5.5966416817743826e-5
TES	4.919531174057011e-9	0.6069599774232279	0.182	0.08	6.746645052101785e-5
ADAM8	6.869929746432443e-9	0.47820761849671806	0.155	0.062	9.421421654257452e-5
SYNE1	7.175403247940651e-9	0.5015591112614628	0.129	0.046	9.840348014225809e-5
MAD2L2	8.134765409716475e-9	0.5465858639527399	0.17	0.072	1.1156017282885173e-4
SDF4	8.171640550002525e-9	0.6316266803398793	0.227	0.115	1.1206587850273463e-4
ARHGEF3	8.929635164527823e-9	0.5363629238097628	0.144	0.056	1.2246101664633457e-4
SCP2	9.43304819196507e-9	1.002557943619318	0.39	0.262	1.2936482290460896e-4
BZW1	1.602194429724238e-8	0.5977802059710261	0.273	0.152	2.1972494409238202e-4
DSTN	1.766466164808776e-8	0.5740409226161197	0.307	0.187	2.4225316984187553e-4
STOM	1.9754505956768013e-8	0.4711821788390621	0.17	0.074	2.709132946911165e-4
MRPS6	2.136289278381973e-8	0.9368908808473513	0.269	0.152	2.929707116373038e-4
PILRB	2.172862250027987e-8	0.5676592171014279	0.136	0.053	2.9798632896883815e-4
CTSD	2.2524296612005434e-8	0.5670426668092392	0.364	0.229	3.0889820373704253e-4
DNAJC1	2.4228139030038956e-8	0.5600827125475019	0.186	0.085	3.322646986579543e-4
LCP1	2.4391058247493636e-8	0.6551944604345699	0.489	0.376	3.344989728061277e-4
EMP3	2.4395065672755583e-8	0.5362891891649086	0.811	0.726	3.345539306361701e-4
DOK2	2.7861362730126122e-8	0.592093627973248	0.356	0.229	3.8209072848094963e-4
GCLM	3.162596540512341e-8	0.45132824213434064	0.11	0.037	4.3371848956586244e-4
CD320	4.8869448754333135e-8	0.5694708244002384	0.136	0.053	6.701956202169246e-4
RASSF5	5.029910733441551e-8	0.6088900965273775	0.288	0.171	6.898019579841744e-4
SDF2L1	5.520329893069896e-8	0.6091950439736669	0.242	0.133	7.570580415356056e-4
CD164	6.484826332311223e-8	0.5887958996707003	0.443	0.333	8.893290832131612e-4
HMOX2	7.138003338471644e-8	0.6980736579132966	0.284	0.172	9.789057778380012e-4
JAK1	8.070109061349758e-8	0.5175451883438957	0.307	0.188	0.0011067347566735058
HMGN3	8.367719513062875e-8	0.5578704553226093	0.345	0.227	0.0011475490540214428
SYTL1	8.545666933811178e-8	0.6579459147047606	0.269	0.158	0.001171952763302865
GAPDH	8.82263274598088e-8	0.2623390776147767	0.909	0.845	0.0012099358547838178
PRR5	9.053560132158277e-8	1.1470978480386553	0.133	0.053	0.001241605236524186
GHITM	1.0035357819880772e-7	0.5741947626319737	0.466	0.364	0.001376248971418449
ANXA4	1.1843226171789823e-7	0.6190103643419489	0.186	0.091	0.0016241800371992563
STAT4	1.252098029890122e-7	0.532740637483593	0.148	0.063	0.0017171272381913134
ACTR3	1.253176616852756e-7	0.44498245964787486	0.515	0.404	0.0017186064123518696
HSP90AA1	1.3910216302556126e-7	0.5143370890214438	0.625	0.527	0.0019076470637325472
TFDP2	1.4834669600584612e-7	0.405484426600383	0.102	0.035	0.002034426589024174
DDOST	1.8067091642629917e-7	0.6979807683317986	0.288	0.178	0.0024777209478702667
CD47	1.883927472444685e-7	0.41302703418105	0.352	0.236	0.002583618135710641
RPS6KA1	2.2610934397804835e-7	0.5253336110892667	0.167	0.079	0.0031008635433149552
PSMA5	2.2753273556049366e-7	0.5182960170668343	0.371	0.258	0.0031203839354766102
STK17A	2.2955347817677517e-7	0.6005849040103934	0.439	0.305	0.0031480963997162948
MFSD10	2.3391198026723523e-7	0.40572844387858764	0.174	0.083	0.003207868897384864
SPCS2	2.69805814776437e-7	0.6444026837585495	0.402	0.294	0.003700116943844057
AHSA1	2.781422823112952e-7	0.39521674553980257	0.208	0.109	0.0038144432596171024
PSMC4	3.279565191257437e-7	0.8456427949706129	0.265	0.158	0.0044975957032904485
TBC1D10C	3.4105039189105017e-7	0.5042743678162984	0.405	0.29	0.004677165074393862
C9orf16	3.416102840150885e-7	0.3090225468766017	0.466	0.353	0.004684843434982923
SASH3	3.5516492928824743e-7	0.5686280228027368	0.212	0.113	0.004870731840259025
TMED1	3.610019675152073e-7	0.4429316106020622	0.114	0.044	0.0049507809825035535
NDUFB7	3.6788494125278503e-7	0.6564998934133355	0.379	0.277	0.005045174084340694
TMEM59	4.451845410134366e-7	0.4765486751939001	0.489	0.388	0.00610526079545827
TSPAN32	5.193530830027638e-7	0.5876726905537757	0.167	0.08	0.007122408180299903
WIPF1	5.305213239830835e-7	0.6386364299682432	0.303	0.198	0.007275569437104007
CCDC107	5.608605955334068e-7	0.4738871954536563	0.269	0.16	0.007691642207145141
CCDC88C	6.157641960843174e-7	0.499989573857808	0.159	0.075	0.00844459018510033
SEPW1	6.678233894046331e-7	0.45805910692826113	0.352	0.243	0.009158529962295138
LAT	7.413124379028519e-7	0.49799644494381656	0.326	0.208	0.010166358773399711
TMEM43	7.492457227306607e-7	0.47333401235351924	0.114	0.045	0.01027515584152828
SIPA1	8.150216431968171e-7	0.5561672530935597	0.174	0.088	0.011177206814801149
RNF167	9.322304403646922e-7	0.5774709292340536	0.265	0.161	0.012784608259161388
C1orf122	1.0517513000031971e-6	0.4806071251269369	0.152	0.071	0.014423717328243844
EIF3G	1.0967880745211393e-6	0.4406443526627273	0.636	0.571	0.015041351653982904
TMEM71	1.1354149506521082e-6	0.4213063922073408	0.117	0.048	0.015571080633243011
POLR2G	1.2694241169134284e-6	0.4544290533668367	0.341	0.233	0.017408882339350756
RPA2	1.4062972544549437e-6	0.4506791321987922	0.277	0.171	0.0192859605475951
VDAC3	1.5693299626965044e-6	0.25076967040423037	0.261	0.16	0.021521791108419862
BTN3A1	1.589802920373578e-6	0.8902276437631824	0.121	0.051	0.021802557250003247
CFLAR	1.6517629736720783e-6	0.4898283911418857	0.292	0.187	0.022652277420938883
FDPS	1.803305131680089e-6	0.5381769967240255	0.22	0.128	0.02473052657586074
CXXC5	1.8156895241665188e-6	0.4577439021273681	0.144	0.065	0.02490036613441964
SRSF2	1.8612251456653106e-6	0.6901129804031627	0.485	0.385	0.02552484164765407
TMEM109	2.11303341840771e-6	0.5248465608610614	0.208	0.115	0.028978140300043333
IDH2	2.115861326578651e-6	0.4830669718567351	0.273	0.174	0.02901692223269962
GPAA1	2.1583479621800617e-6	0.5860587708250509	0.17	0.086	0.029599583953337366
GBP5	2.548005373295974e-6	0.46978431444836655	0.144	0.067	0.034943345689380984
STMN1	2.6727698066365487e-6	0.8585464374362959	0.14	0.064	0.03665436512821363
RAB27A	2.713298203661408e-6	0.43083861723277694	0.148	0.069	0.03721017156501255
STARD3NL	2.7969610894247026e-6	0.49546526922970635	0.14	0.066	0.03835752438037037
YARS	2.8384447555427402e-6	0.4210834246380706	0.106	0.043	0.038926431377513136
HDDC2	2.983995368952798e-6	0.5062690890790229	0.227	0.134	0.04092251248981867
CLEC2B	3.1606145051576547e-6	0.401247022871569	0.167	0.085	0.04334466732373208
ATP1B3	3.178495562714339e-6	0.6415616267695654	0.254	0.155	0.043589888147064444
SH3BP5	3.380065815269742e-6	0.48853654553414927	0.193	0.105	0.04635422259060924
ABHD14A	3.4116266111603744e-6	0.6119413738767683	0.163	0.081	0.04678704734545337
GPATCH8	3.471487809021899e-6	0.5227707924223981	0.155	0.077	0.04760798381292632
CASP8	4.359424694106651e-6	0.47125673854404315	0.17	0.088	0.05978515025497861
YWHAB	4.845383780935853e-6	0.34652361146052346	0.58	0.497	0.06644959317175429
TMEM126B	4.868445120366939e-6	0.4949090756945772	0.193	0.107	0.0667658563807122
ORMDL3	4.8936260125069195e-6	0.4956933850366183	0.182	0.096	0.06711118713551989
CYB561D2	5.170387145142164e-6	0.49059914120303716	0.189	0.104	0.07090668930847964
RNF126	5.353212064223654e-6	0.530768464003182	0.246	0.152	0.0734139502487632
