gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SIGLEC10	5.471196035932918e-46	0.673368482239784	0.196	0.027	7.503198243678404e-42
CYBA	2.1518483984464862e-45	0.7276941942486941	0.945	0.825	2.9510448936295113e-41
S100A4	1.9432298044835125e-44	0.8071311610554561	0.957	0.78	2.664945353868689e-40
GPR56	4.924640735270256e-44	0.8208962856481876	0.141	0.012	6.753652304349629e-40
CTSL	8.680976699489493e-44	0.6388338729409646	0.185	0.026	1.190509144567989e-39
AKR1C3	2.4452122778964022e-43	1.1493833112051994	0.149	0.015	3.353364117907126e-39
CSF1R	3.0178415767892073e-43	0.7006987360521876	0.218	0.038	4.138667938408719e-39
SPI1	5.603434462850844e-43	1.0886764913469404	0.434	0.163	7.684550022353647e-39
S1PR5	6.896560875092953e-43	0.8800981278717914	0.159	0.018	9.457943584102475e-39
LILRA3	7.663629795151585e-43	0.7946791063710944	0.198	0.031	1.0509901901070884e-38
CLIC3	2.8952124959823696e-42	1.3730223838602433	0.191	0.031	3.9704944169902215e-38
LYN	3.169117407467538e-42	0.8100134320836565	0.36	0.109	4.3461276126009814e-38
KLRD1	5.163905184975916e-42	1.1257998068096957	0.189	0.03	7.08177957067597e-38
SH3BGRL3	2.5517548119335273e-41	0.5469216237226653	0.965	0.834	3.499476549085639e-37
PILRA	6.871724206113425e-41	0.9216470324952051	0.293	0.078	9.423882576263952e-37
CFL1	2.163121590799725e-40	0.5148982887916804	0.974	0.903	2.9665049496227428e-36
S100A11	3.014001979033709e-40	0.9720090290277823	0.747	0.476	4.133402314046828e-36
LILRB1	1.5300368579212466e-39	0.5978695370363775	0.191	0.032	2.0982925469531977e-35
PLEK	2.376196883048921e-39	0.8933641352011047	0.375	0.123	3.2587164054132905e-35
EFHD2	1.3092579379952412e-38	0.8872572908334501	0.405	0.145	1.795516336166674e-34
MS4A4A	1.6570326495222726e-38	0.5354129046413174	0.13	0.012	2.2724545755548447e-34
CD300A	2.0700778416846696e-38	0.8714876955159611	0.303	0.087	2.8389047520863558e-34
IGFBP7	1.2163309874466193e-37	1.518361796346713	0.23	0.054	1.6680763161842936e-33
HCK	2.3692505910388756e-37	0.9390574380590697	0.334	0.108	3.249190260550714e-33
HMOX1	2.795762958163488e-37	0.7658147268912823	0.202	0.039	3.8341093208254074e-33
PRSS23	3.7365799493774414e-37	0.8422659429825607	0.136	0.015	5.1243457425762234e-33
MYO1F	4.077927739775404e-37	0.8738361056054047	0.458	0.187	5.592470102327989e-33
CHST2	4.248032827157941e-37	0.5705857832627332	0.128	0.013	5.8257522191644e-33
FAM49A	4.6394885055563075e-37	0.48250206074386204	0.165	0.024	6.36259453651992e-33
EMP3	1.3851415747556086e-36	0.7103269108609891	0.894	0.698	1.8995831556198417e-32
SERPINA1	1.557778945845327e-36	1.1997939101443784	0.448	0.201	2.1363380463322814e-32
HLA-C	2.5251169726562292e-36	0.6080172296571291	0.994	0.979	3.4629454163007526e-32
TMSB4X	3.1844506247474156e-36	0.33753330619500677	1	1	4.367155586778606e-32
XCL2	8.149996138800529e-36	1.0601447568451798	0.165	0.027	1.1176904704751046e-31
CD68	1.131246015756146e-35	0.9705604556756737	0.426	0.176	1.5513907860079787e-31
BATF3	1.700367417012296e-35	0.44562102871440623	0.11	0.008	2.3318838756906625e-31
TESC	4.31570779643381e-35	0.6810857958286662	0.218	0.049	5.918561672029327e-31
CLIC1	5.476731297797482e-35	0.7898339649428454	0.839	0.601	7.510789301799467e-31
CEBPB	1.050137650107438e-34	1.2558600053682758	0.519	0.279	1.4401587733573406e-30
TNFRSF1B	1.5526549716918443e-34	0.546563606021235	0.324	0.102	2.1293110281781954e-30
LST1	1.5991291798932399e-34	1.735180241200541	0.525	0.318	2.193045757305589e-30
RHOG	3.127710412990617e-34	0.7534902089091786	0.627	0.337	4.289342060375332e-30
LILRB2	3.6751082246629035e-34	0.6992027236169769	0.251	0.066	5.040043419302706e-30
B2M	5.420221489384306e-34	0.43834023246003273	1	1	7.433291750541638e-30
WARS	1.0255493967361473e-33	0.8001142923243253	0.308	0.097	1.4064384426839524e-29
C1orf21	2.4427808343751733e-33	0.7034426293554291	0.12	0.013	3.3500296362621127e-29
CFD	2.8827543396564784e-33	1.0706191913700494	0.43	0.184	3.953409301404894e-29
PSAP	3.1729316482433695e-33	0.9929287404493294	0.684	0.469	4.351358462400957e-29
C5AR1	6.263224253383098e-33	0.5700259762106574	0.248	0.065	8.589385741089581e-29
VASP	7.312762228853539e-33	0.7907132841107709	0.491	0.226	1.0028722120649743e-28
RAP1B	9.995739799412496e-33	0.8023296747326707	0.58	0.314	1.3708157560914296e-28
TPPP3	1.5482989633603878e-32	0.5244424509348173	0.145	0.021	2.123337198352436e-28
BID	1.8331759612357155e-32	0.9214081672504932	0.397	0.163	2.5140175132386603e-28
LILRA5	2.0373707139340186e-32	0.7668144062748279	0.279	0.083	2.794050197089113e-28
CARD16	2.4730493765491827e-32	0.7857309145999956	0.503	0.237	3.391539914999549e-28
IFI30	3.693690101834112e-32	0.9476550656626203	0.344	0.125	5.065526605655301e-28
DRAP1	5.29331635499241e-32	0.7463524680499627	0.672	0.42	7.259254049236591e-28
SLC31A2	5.303370000486925e-32	0.7089556056289714	0.228	0.057	7.273041618667769e-28
CXCL16	1.359395066400064e-31	0.530374367248064	0.157	0.027	1.8642743940610477e-27
TIMP1	1.5466207965964828e-31	1.2890797031151466	0.513	0.287	2.1210357604524165e-27
STXBP2	6.018544998194548e-31	0.9689524526790099	0.438	0.2	8.253832610524002e-27
SPN	1.5612378546476152e-30	0.7580698929636743	0.312	0.107	2.1410815938637393e-26
FAM110A	8.31425562543854e-30	0.7307005651793377	0.202	0.049	1.1402170164726414e-25
PYCARD	9.987780717615224e-30	0.826691860056104	0.593	0.321	1.3697242476137518e-25
MT2A	1.5072424976368074e-29	0.8683259593236605	0.525	0.27	2.0670323612591177e-25
ASCL2	1.7791662049407626e-29	0.6579774234694252	0.179	0.04	2.4399485334557618e-25
FGL2	8.132565459296346e-29	0.4582840422496497	0.281	0.091	1.1153000270879009e-24
ARRB1	1.2450980319116584e-28	0.47827599064593995	0.136	0.022	1.7075274409636483e-24
ARPC3	1.259857228600386e-28	0.5577617264085091	0.894	0.8	1.7277682033025693e-24
ADA	1.7807264622287182e-28	0.6447761373086212	0.257	0.081	2.442088270300464e-24
HLA-B	2.3853981889673987e-28	0.4656186649564171	0.984	0.94	3.2713350763498907e-24
APOBEC3G	3.7471362888951328e-28	0.7091347592812696	0.401	0.175	5.1388227065907854e-24
FCRL6	5.719270541261328e-28	0.7019733677275268	0.118	0.017	7.843407620285786e-24
CD63	9.133018852022366e-28	0.9378090142633533	0.542	0.3	1.2525022053663473e-23
CTD-2006K23.1	1.3918408668879511e-27	0.4592098686579696	0.11	0.014	1.9087705648501362e-23
HAVCR2	1.4875555493879365e-27	0.8377319096937567	0.138	0.025	2.040033680430616e-23
SERF2	1.5386469733626084e-27	0.4776210543836408	0.937	0.838	2.110100459269481e-23
AIF1	1.5508816481635188e-27	1.4585237259118977	0.519	0.341	2.1268790922914496e-23
APMAP	2.3976123292300394e-27	0.9489304796350293	0.263	0.091	3.288085548306076e-23
PRELID1	2.410156358233448e-27	0.6785500273148948	0.672	0.424	3.3052884296813504e-23
NINJ1	4.4015587386552516e-27	0.6611119273838071	0.316	0.119	6.036297654191812e-23
ZNF703	4.715578000715956e-27	0.3993472935072055	0.106	0.013	6.466943670181862e-23
ANXA2	5.423230252857948e-27	0.714759933214876	0.644	0.39	7.43741796876939e-23
PLAC8	6.325873775071819e-27	0.8680708181636989	0.646	0.415	8.675303295133492e-23
UNC119	1.3274430865631438e-26	0.46800368157172734	0.238	0.071	1.8204554489126953e-22
CD300LF	1.8194766951106425e-26	0.4410200702856909	0.165	0.036	2.495230339674735e-22
UBE2F	2.0313907692056965e-26	0.569815543213611	0.285	0.1	2.7858493008886924e-22
TCF7L2	2.1867880925577915e-26	0.36330097846538534	0.11	0.015	2.9989611901337552e-22
ITGAL	2.3298815366904026e-26	0.622790354687486	0.236	0.072	3.195199539417218e-22
LY6E	2.512758069821358e-26	0.6870381669462162	0.79	0.64	3.4459964169530104e-22
CAMK1	4.22843781313132e-26	0.5016918734270783	0.165	0.037	5.798879616928293e-22
LYST	6.448791542283032e-26	0.5467794031403931	0.271	0.091	8.84387272108695e-22
MAFB	6.608811537713984e-26	0.3984875851225361	0.23	0.068	9.063324142820958e-22
BRI3	1.0462512850693227e-25	0.6993144053956057	0.381	0.165	1.434829012344069e-21
C10orf54	1.080435566034764e-25	0.6355095848102885	0.568	0.328	1.4817093352600756e-21
CTSS	1.2998380736279864e-25	1.0568867747451307	0.666	0.49	1.7825979341734204e-21
TYMP	1.4128862756729813e-25	0.7176488522649427	0.544	0.304	1.9376322384579266e-21
ANXA4	1.8647065519192206e-25	0.6320882369094635	0.228	0.071	2.5572585653020193e-21
CASP1	3.1491823964242953e-25	0.725892202898732	0.454	0.23	4.318788738456278e-21
PPP1CA	3.4209233748088223e-25	0.6793710270865869	0.719	0.474	4.691454316212819e-21
HSBP1	3.7957145226755094e-25	0.6704568969745665	0.318	0.127	5.2054428963971935e-21
ARRB2	4.0493341120289306e-25	0.5715977639220435	0.44	0.216	5.553256801236475e-21
AP2A1	4.116585990546425e-25	0.42171941073959823	0.179	0.044	5.645486027435367e-21
ID2	4.878101886763203e-25	0.7105238715723499	0.595	0.34	6.6898289275070565e-21
SLC16A3	6.292347486875087e-25	0.4786672910442113	0.183	0.048	8.629325343500495e-21
TBX21	1.1425832600850128e-24	0.6506137900307889	0.13	0.025	1.5669386828805866e-20
CTSW	2.179955716676742e-24	1.3982537679057454	0.45	0.265	2.989591269850484e-20
CAP1	2.2862693818644795e-24	0.6368931630215431	0.609	0.369	3.135389830288947e-20
DOK2	2.4483331313474744e-24	0.6218498655785287	0.426	0.199	3.3576440563299264e-20
CFP	2.951165992496641e-24	0.7197396834627268	0.381	0.169	4.0472290421098933e-20
TBXAS1	4.064074090963551e-24	0.6176931034385155	0.251	0.085	5.573471208347414e-20
ASAH1	4.389941907103741e-24	0.7745246126853493	0.413	0.208	6.02036633140207e-20
C19orf38	5.8191665142727466e-24	0.477872155126414	0.234	0.075	7.980404957673645e-20
TPI1	7.896824941232236e-24	0.5821723177612608	0.686	0.468	1.0829705724405888e-19
APOBEC3A	9.322823383213275e-24	0.787504208164413	0.263	0.094	1.2785319987738685e-19
PLAUR	9.452988547806871e-24	0.4304691752070732	0.261	0.088	1.2963828494462344e-19
OAZ1	1.164253150998244e-23	0.5714656909024471	0.943	0.905	1.5966567712789918e-19
LINC00877	1.3443761642353333e-23	0.3668422351647467	0.114	0.019	1.843677471632336e-19
CST3	1.4281967131129537e-23	0.9558711179234707	0.57	0.359	1.9586289723631047e-19
CPPED1	1.8555840850794447e-23	0.608905715306936	0.23	0.075	2.5447480142779504e-19
TPST2	2.0101511389405624e-23	0.8634036874159412	0.283	0.112	2.756721271943087e-19
ATP1B3	2.194206826474431e-23	0.7330003461366843	0.32	0.13	3.009135241827035e-19
AOAH	2.503031293801637e-23	0.6693052060967375	0.261	0.095	3.432657116319565e-19
GPBAR1	4.688013496528424e-23	0.4681924080980113	0.167	0.042	6.42914170913908e-19
S100A6	4.723398275998668e-23	0.5154036067036287	0.888	0.759	6.477668395704574e-19
NAAA	5.312003943486791e-23	0.6053218600258067	0.34	0.144	7.2848822080977855e-19
SAT1	6.811968118751354e-23	1.0710234968486443	0.699	0.566	9.341933078055607e-19
NPC2	1.1996157612640294e-22	0.7280131017244424	0.574	0.382	1.6451530549974898e-18
CTSD	1.2029837365384895e-22	0.599819803107918	0.422	0.201	1.6497718962888844e-18
THEMIS2	1.2911254965921164e-22	0.5564314418285824	0.246	0.087	1.7706495060264283e-18
SLC11A1	1.5835256464495162e-22	0.4624764698884456	0.208	0.063	2.1716470715408667e-18
ISG15	2.1194621955660994e-22	0.5496640885229844	0.633	0.406	2.906630454999349e-18
SLC7A7	3.9005363191063356e-22	0.5733758462937124	0.277	0.105	5.349195508022429e-18
CALM2	4.990947023871846e-22	0.6848555720642802	0.684	0.508	6.84458474853785e-18
INSIG1	6.192513873390237e-22	0.47640030377100867	0.173	0.048	8.492413525967372e-18
XCL1	9.24783607063055e-22	0.6087748007358786	0.102	0.017	1.2682482387262736e-17
PSME2	1.9607265282372718e-21	0.5776993308356198	0.719	0.516	2.6889403608245945e-17
MT-CO1	2.844928541725017e-21	0.28805747906956647	0.996	0.994	3.9015350021216885e-17
ARPC1B	3.609660709075526e-21	0.5024150347564484	0.884	0.717	4.950288696426177e-17
NEAT1	5.2417293962744754e-21	0.7163954083494599	0.762	0.612	7.188507694050815e-17
CDA	6.568907060704182e-21	0.32941464841680324	0.291	0.114	9.008599143049715e-17
VMP1	7.870932523627866e-21	0.5437809618267837	0.269	0.105	1.0794196862903256e-16
LSP1	7.926896138600528e-21	0.5351383824947069	0.729	0.504	1.0870945364476764e-16
PTPN6	1.5891424195347325e-20	0.5976508518880985	0.468	0.256	2.179349914149932e-16
PLEKHF1	1.6033955804782452e-20	0.6581427655453005	0.126	0.029	2.1988966990678654e-16
OAZ2	1.6129567153120222e-20	0.5662179334731159	0.308	0.13	2.2120088393789073e-16
RHOB	1.8238619699654338e-20	0.4830156446152948	0.263	0.099	2.5012443056105957e-16
CD300E	3.750878411384833e-20	0.33733342552978374	0.155	0.041	5.14395465337316e-16
RGS2	4.3748258558394164e-20	0.6201874052836742	0.452	0.238	5.999636178698175e-16
GNG2	4.770828653348683e-20	0.5845899959446319	0.251	0.096	6.542714415202384e-16
MAPKAPK3	7.794312802320141e-20	0.4843422010089382	0.244	0.09	1.0689120577101842e-15
PSMB9	7.834011344159801e-20	0.5325748952483935	0.749	0.549	1.074356315738075e-15
MATK	8.873139986500123e-20	0.6524402391761714	0.163	0.048	1.2168624177486268e-15
CSTB	9.056723579483615e-20	0.7170695576141097	0.532	0.334	1.242039071690383e-15
CD86	1.0145022236079836e-19	0.4053342239661093	0.143	0.037	1.3912883494559888e-15
IL2RB	1.4528468351979732e-19	0.6114749872390186	0.157	0.045	1.9924341497905006e-15
FCGR2A	2.620048850542904e-19	0.28074315361352253	0.191	0.061	3.5931349936345385e-15
CD300C	4.792503852281852e-19	0.3118622208962871	0.126	0.03	6.572439783019332e-15
FTL	6.214945532833727e-19	0.9640314587309504	0.998	0.988	8.523176303728173e-15
FLNA	7.331498366561509e-19	0.5618075435294789	0.367	0.177	1.0054416859902455e-14
ARPC5	8.270041062096029e-19	0.5490969083130732	0.692	0.49	1.1341534312558494e-14
PDIA3	9.931903937343e-19	0.6665997271121298	0.509	0.299	1.3620613059672189e-14
TKT	1.0185414554920706e-18	0.5815319251594837	0.517	0.313	1.3968277520618256e-14
OAS1	1.0287242685507522e-18	0.48555004478266417	0.34	0.162	1.4107924618905016e-14
BST2	1.1214440169154259e-18	0.515902133603451	0.644	0.405	1.537948324797815e-14
TCIRG1	1.8999149119393456e-18	0.4044278192729535	0.208	0.073	2.6055433102336186e-14
BIN2	1.9391087816138896e-18	0.615765594046739	0.544	0.33	2.6592937831052883e-14
GNG5	3.4401537367789996e-18	0.47108081321735007	0.464	0.254	4.71782683461872e-14
PIK3AP1	3.821415942563793e-18	0.41231250394366376	0.134	0.035	5.2406898236319854e-14
MYD88	5.79148964958092e-18	0.42366588886995593	0.257	0.103	7.942448905435274e-14
PSMB10	6.037020316759258e-18	0.5634324292619364	0.532	0.316	8.279169662403646e-14
HOTAIRM1	6.678866466435495e-18	0.4077719460884691	0.149	0.043	9.159397472069638e-14
PTP4A3	6.752934003591564e-18	0.3086542637924249	0.122	0.029	9.260973692525471e-14
ATP6V0D1	7.071730050270388e-18	0.4454685920474264	0.316	0.141	9.69817059094081e-14
HN1	7.578430983604772e-18	0.6264366019372294	0.399	0.21	1.0393060250915585e-13
LILRA1	9.1731168526092e-18	0.29139289474115415	0.114	0.026	1.2580012451668257e-13
STX11	9.741870179739048e-18	0.6623864842479512	0.255	0.106	1.336000076449413e-13
YBX1	2.3291261522006296e-17	0.45400966896260986	0.859	0.808	3.1941636051279434e-13
RHOA	2.8033700437066877e-17	0.4157582093562917	0.715	0.534	3.8445416779393514e-13
FAM26F	2.819291138510246e-17	0.550310958791598	0.379	0.195	3.8663758673529513e-13
GABARAP	4.307229771462707e-17	0.46969530916436675	0.66	0.451	5.906934908583957e-13
MYO1G	4.360328756803187e-17	0.6254514862559541	0.389	0.199	5.979754857079891e-13
SLC2A6	4.894214608690631e-17	0.33283059491261757	0.12	0.03	6.711925914358332e-13
RBX1	5.762156451356722e-17	0.42820233363188165	0.458	0.255	7.902221357390608e-13
H3F3A	6.156887187322472e-17	0.4285491551560656	0.562	0.345	8.443555088694038e-13
BLVRA	8.173637616483424e-17	0.3186674937859446	0.324	0.154	1.1209326627245368e-12
MPEG1	8.437075189636143e-17	0.35735038183794576	0.22	0.083	1.1570604915067007e-12
CCT5	9.222675553090036e-17	0.4559893033551865	0.322	0.155	1.2647977253507675e-12
GZMM	9.524141944034831e-17	1.0618303681233003	0.358	0.218	1.3061408262049368e-12
CAPZB	1.1467721612712306e-16	0.3714196513107457	0.713	0.525	1.5726833419673656e-12
PAK1	1.1618077985741295e-16	0.27833835864489065	0.13	0.035	1.5933032149645611e-12
FTH1	1.2414455665034454e-16	1.044097755578516	0.992	0.989	1.702518449902825e-12
AP2S1	1.390562409990677e-16	0.6296082358190196	0.513	0.317	1.9070172890612147e-12
RGS19	1.6274944790424202e-16	0.4111797628849545	0.432	0.233	2.231945928558775e-12
RAC1	1.891260976271839e-16	0.35100695458818	0.611	0.401	2.5936753028592e-12
RXRA	2.0313590736676123e-16	0.5021018057588118	0.134	0.038	2.7858058336277634e-12
CUX1	2.2142125224764273e-16	0.34853089880186816	0.151	0.046	3.0365710533241724e-12
RNF149	2.220583988542009e-16	0.43186360496902054	0.267	0.116	3.0453088818865107e-12
PTP4A2	2.4358952558435144e-16	0.47366587920533276	0.391	0.202	3.3405867538637955e-12
EMR2	3.6212008360031753e-16	0.30894217318072015	0.104	0.024	4.966114826494755e-12
SUPT4H1	3.850166564493538e-16	0.5761807389446707	0.45	0.252	5.280118426546437e-12
FBXO6	4.0921391246068266e-16	0.435145043969867	0.13	0.038	5.611959595485802e-12
SELT	5.294138260087786e-16	0.49985414838760023	0.462	0.264	7.26038120988439e-12
CD247	6.678638512906263e-16	1.3379144304766366	0.381	0.242	9.15908485659965e-12
HLA-DPA1	7.055972911446472e-16	0.4964772172087879	0.656	0.456	9.676561250757692e-12
NAGA	7.151374343611336e-16	0.32719593298672633	0.12	0.032	9.807394774828587e-12
BAX	9.02324747897693e-16	0.5559323974178081	0.475	0.268	1.237448159266896e-11
C12orf75	1.0376098063064524e-15	0.6514186285432981	0.246	0.113	1.4229780883686688e-11
RNF13	1.0863721647242305e-15	0.3708826971627123	0.214	0.083	1.48985078670281e-11
DHRS7	1.132544272762344e-15	0.599660276973276	0.473	0.285	1.5531712156662786e-11
SH3GLB1	1.1673718117619e-15	0.38702321436765375	0.259	0.115	1.60093370265027e-11
HOPX	1.433627961370141e-15	1.0026559616946278	0.257	0.124	1.9660773862230113e-11
C1orf162	1.5425256255525166e-15	0.7054776687756668	0.546	0.353	2.1154196428827214e-11
SEC14L1	2.0586690110405136e-15	0.2964553835999082	0.13	0.038	2.8232586817409605e-11
GLRX	2.1902867368659264e-15	0.48597421419529074	0.53	0.341	3.0037592309379314e-11
PSMB8	2.340151710643517e-15	0.5362370139322836	0.642	0.418	3.209284055976519e-11
ATOX1	4.807552533662245e-15	0.3637960162419537	0.224	0.093	6.593077544664403e-11
ANXA5	5.199842176535883e-15	0.8253995894901343	0.446	0.276	7.13106356090131e-11
RAC2	5.231929550991236e-15	0.5012709800908901	0.788	0.621	7.17506818622938e-11
GMFG	5.879647550617654e-15	0.5315221668506003	0.809	0.675	8.06334865091705e-11
PGAM1	5.9266295610621664e-15	0.4386515640199382	0.381	0.204	8.127779780040655e-11
PGLS	6.494972361198496e-15	0.4346027392416252	0.444	0.265	8.907205096147618e-11
CD53	6.751604168401431e-15	0.4942711542793856	0.707	0.511	9.259149956545723e-11
MAP2K3	7.42564925403785e-15	0.4016788475507066	0.259	0.116	1.0183535386987507e-10
TUBA1B	8.501334495384427e-15	0.5887275968458034	0.582	0.398	1.1658730126970203e-10
PRDX5	8.992268531096356e-15	0.376847273204554	0.517	0.317	1.2331997063545541e-10
MTSS1	9.458864314160964e-15	0.38190387909191226	0.175	0.064	1.2971886520440347e-10
COTL1	9.742785224510661e-15	1.1182545603666885	0.652	0.625	1.3361255656893921e-10
NOP10	1.2415088470826868e-14	0.5793009546817192	0.436	0.264	1.7026052328891967e-10
CCL5	1.2445255285573185e-14	1.0698106935742526	0.446	0.287	1.7067423098635065e-10
DUSP6	1.4022234597507242e-14	0.4044911463270409	0.187	0.072	1.9230092527021432e-10
RAB8A	1.5136998724932602e-14	0.4675319294177197	0.356	0.187	2.075888005137257e-10
NDUFB2	1.777624121946913e-14	0.4815499206188716	0.499	0.315	2.4378337208379967e-10
LPCAT1	2.0520520002449172e-14	0.39038424296822505	0.124	0.038	2.8141841131358793e-10
FAM49B	2.6498434514898388e-14	0.39355083061830376	0.452	0.269	3.633995309373165e-10
SH3BP1	2.7970073650504502e-14	0.5136852447121925	0.208	0.085	3.8358159004301875e-10
NUDT16	3.2084843700611483e-14	0.31195525602708907	0.163	0.058	4.400115465101859e-10
LAIR1	3.8141051071761966e-14	0.3990574733870484	0.181	0.07	5.230663743981436e-10
RNF130	4.162578554156927e-14	0.3204786712946822	0.31	0.15	5.70856022917081e-10
CSK	5.385376588936217e-14	0.5465388198304136	0.356	0.189	7.385505454067129e-10
BLOC1S1	5.3856530190689873e-14	0.5098270594833829	0.46	0.279	7.385884550351209e-10
CYBB	5.650685520274982e-14	0.3331865446667973	0.208	0.085	7.74935012250511e-10
LGALS9	8.099101078800084e-14	0.46749326024134796	0.295	0.148	1.1107107219466435e-9
PTGDR	8.618358421396097e-14	0.8259900187289756	0.11	0.032	1.1819216739102608e-9
FKBP1A	1.2450409607866586e-13	0.5471916669564427	0.587	0.438	1.7074491736228236e-9
MPP1	1.95598454357872e-13	0.32265783509481855	0.143	0.048	2.6824372030638563e-9
CLEC7A	2.4018659060279816e-13	0.34818968273637196	0.147	0.051	3.293918903526774e-9
PSMA7	2.4246460107281644e-13	0.6376323741579499	0.727	0.526	3.3251595391126045e-9
BSG	2.5896517757165186e-13	0.41691524597011353	0.383	0.219	3.5514484452176335e-9
ADRBK1	2.736560225599991e-13	0.3417423472237024	0.191	0.078	3.752918693387828e-9
SELPLG	2.9658018962396034e-13	0.6162431216408011	0.299	0.15	4.0673007205029925e-9
WDR1	3.0772705754188896e-13	0.4825413845579605	0.397	0.232	4.220168867129465e-9
C20orf24	3.4166534109917344e-13	0.29071182710851406	0.47	0.273	4.685598487834065e-9
ATP6V0B	3.573746646542103e-13	0.42296718882868367	0.493	0.302	4.90103615106784e-9
C11orf21	3.600512080016633e-13	0.3647664923492722	0.147	0.052	4.93774226653481e-9
RAB24	3.8212506483244343e-13	0.37637591928977443	0.185	0.075	5.240463139112129e-9
SEC11A	3.941502077636455e-13	0.3527843054420605	0.483	0.295	5.4053759492706345e-9
RIN3	4.2867680475539623e-13	0.3369823863349742	0.189	0.077	5.878873700415504e-9
LFNG	4.2967282653252706e-13	0.2844069971390236	0.108	0.031	5.892533143067076e-9
SH3BGRL	5.342188578113083e-13	0.5376427583388812	0.578	0.412	7.326277416024282e-9
TMEM179B	5.71014131600197e-13	0.44491043591887114	0.273	0.136	7.8308878007651e-9
ENO1	6.008473133364197e-13	0.378601893861346	0.723	0.53	8.24002005509566e-9
EIF4E2	6.775269906846199e-13	0.4968762210857567	0.271	0.13	9.291605150248878e-9
PSMA4	6.810916552119264e-13	0.35073898312224805	0.251	0.118	9.340490959576359e-9
PSME1	7.284057745627859e-13	0.29276245899803044	0.849	0.713	9.989356792354046e-9
NAMPT	8.02564531192721e-13	0.33202224171277445	0.179	0.072	1.1006369980776976e-8
MSN	9.030906131466339e-13	0.4365154897146948	0.426	0.254	1.2384984668692937e-8
LILRB4	1.0611525647168923e-12	0.2872818785779634	0.118	0.037	1.4552646272527462e-8
AGTRAP	1.1629497012308664e-12	0.34905504641935037	0.265	0.127	1.5948692202680102e-8
RELT	1.2361267810085376e-12	0.380246300493645	0.114	0.035	1.6952242674751084e-8
UTRN	1.2520111123084993e-12	0.45826828498598304	0.171	0.068	1.717008039419876e-8
ALDOA	1.3631916653386142e-12	0.3224897893930043	0.811	0.684	1.8694810498453755e-8
